survey_id,species_name,total,site_code,latitude,longitude,year,protection_status,site
7000597,Jasus edwardsii,3,MIR-S3,-42.59,148.05,2008,No take,NT3
7000598,Jasus edwardsii,2,MIR-S3,-42.59,148.05,2008,No take,NT3
812302791,Jasus edwardsii,0,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302792,Jasus edwardsii,0,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302793,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302794,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302801,Jasus edwardsii,0,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302802,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302803,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302804,Jasus edwardsii,5,MIR-S11,-42.56,148.07,1992,Fishing,F11
812302811,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302812,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302813,Jasus edwardsii,7,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302814,Jasus edwardsii,3,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302821,Jasus edwardsii,0,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302822,Jasus edwardsii,0,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302823,Jasus edwardsii,0,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302824,Jasus edwardsii,2,MIR-S11,-42.56,148.07,1993,Fishing,F11
812302831,Jasus edwardsii,3,MIR-S11,-42.56,148.07,1994,Fishing,F11
812302832,Jasus edwardsii,0,MIR-S11,-42.56,148.07,1994,Fishing,F11
812302833,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1994,Fishing,F11
812302834,Jasus edwardsii,1,MIR-S11,-42.56,148.07,1994,Fishing,F11
812302911,Jasus edwardsii,2,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302912,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302913,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302914,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302921,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302922,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302923,Jasus edwardsii,2,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302924,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1992,Fishing,F9
812302931,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302932,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302933,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302934,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302941,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302942,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302943,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302944,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1993,Fishing,F9
812302951,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1994,Fishing,F9
812302952,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1994,Fishing,F9
812302953,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1994,Fishing,F9
812302954,Jasus edwardsii,0,MIR-S9,-42.66,148.01,1994,Fishing,F9
812302961,Jasus edwardsii,2,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302962,Jasus edwardsii,3,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302963,Jasus edwardsii,1,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302964,Jasus edwardsii,2,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302971,Jasus edwardsii,3,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302972,Jasus edwardsii,3,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302973,Jasus edwardsii,1,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302974,Jasus edwardsii,3,MIR-S10,-42.72,148.01,1992,Fishing,F10
812302981,Jasus edwardsii,2,MIR-S10,-42.72,148.01,1993,Fishing,F10
812302982,Jasus edwardsii,0,MIR-S10,-42.72,148.01,1993,Fishing,F10
812302983,Jasus edwardsii,0,MIR-S10,-42.72,148.01,1993,Fishing,F10
812302984,Jasus edwardsii,1,MIR-S10,-42.72,148.01,1993,Fishing,F10
812302991,Jasus edwardsii,0,MIR-S10,-42.72,148.01,1993,Fishing,F10
812302992,Jasus edwardsii,3,MIR-S10,-42.72,148.01,1993,Fishing,F10
812302993,Jasus edwardsii,0,MIR-S10,-42.72,148.01,1993,Fishing,F10
812302994,Jasus edwardsii,0,MIR-S10,-42.72,148.01,1993,Fishing,F10
